Verb,English,je,tu,il/elle,nous,vous,ils/elles
être,to be,suis,es,est,sommes,êtes,sont
avoir,to have,ai,as,a,avons,avez,ont
pouvoir,to be able to,peux,peux,peut,pouvons,pouvez,peuvent
faire,to do; to make,fais,fais,fait,faisons,faites,font
mettre,to put,mets,mets,met,mettons,mettez,mettent
dire,to say,dis,dis,dit,disons,dites,disent
devoir,must; to have to,dois,dois,doit,devons,devez,doivent
prendre,to take,prends,prends,prend,prenons,prenez,prennent
donner,to give,donne,donnes,donne,donnons,donnez,donnent
aller,to go,vais,vas,va,allons,allez,vont
vouloir,to want,veux,veux,veut,voulons,voulez,veulent
savoir,to know,sais,sais,sait,savons,savez,savent
voir,to see,vois,vois,voit,voyons,voyez,voient
demander,to ask; to request,demande,demandes,demande,demandons,demandez,devandent
trouver,to find,trouve,trouves,trouve,trouvons,trouvez,trouvent
rendre,to return,rends,rends,rend,rendons,rendez,rendent
venir,to come,viens,viens,vient,venons,venez,viennent
passer,to pass,passe,passes,passe,passons,passez,passent
comprendre,to understand,comprends,comprends,comprend,comprenons,comprenez,comprennent
rester,to stay,reste,restes,reste,restons,restez,restent
tenir,to hold; to keep,tiens,tiens,tient,tenons,tenez,tiennent
porter,to carry; to wear,porte,portes,porte,portons,portez,portent
parler,to speak,parle,parles,parle,parlons,parlez,parlent
montrer,to show,montre,montres,montre,montrons,montrez,montrent
continuer,to continue,continue,continues,continue,continuons,continuez,continuent
penser,to think,pense,penses,pense,pensons,pensez,pensent
suivre,to follow,suis,suis,suit,suivons,suivez,suivent
connaître,to be familiar with,connais,connais,connaît,connaissons,connaissez,connaissent
croire,to believe,crois,crois,croit,croyons,croyez,croient
commencer,to begin,commence,commences,commence,commençons,commencez,commencent
compter,to count,compte,comptes,compte,comptons,comptez,comptent
entendre,to hear,entends,entends,entend,entendons,entendez,entendent
attendre,to wait,attends,attends,attend,attendons,attendez,attendent
remettre,to put back,remets,remets,remet,remettons,remettez,remettent
appeler,to call,appelle,appelles,appelle,appelons,appelez,appellent
permettre,to allow,permets,permets,permet,permettons,permettez,permettent
occuper,to occupy,occupe,occupes,occupe,occupons,occupez,occupent
devenir,to become,deviens,deviens,devient,devenons,devenez,deviennent
partir,to leave,pars,parts,part,partons,partez,partent
décider,to decide,décide,décides,décide,décidons,décidez,décident
arriver,to arrive,arrive,arrives,arrive,arrivons,arrivez,arrivent
servir,to serve,sers,sers,sert,servons,servez,servent
sembler,to seem,semble,sembles,semble,semblons,semblez,semblent
revenir,to return,reviens,reviens,revient,revenons,revenez,reviennent
laisser,to let,laisse,laisses,laisse,laissons,laissez,laissent
recevoir,to receive,reçois,reçois,reçoit,recevons,recevez,reçoivent
répondre,to reply,réponds,réponds,répond,répondons,répondez,répondent
vivre,to live,vis,vis,vit,vivons,vivez,vivent
rappeler,to call back,rappelle,rappelles,rappelle,rappelons,rappelez,rappellent
présenter,to present,présente,présentes,présente,présentons,présentez,présentent
accepter,to accept,accepte,acceptes,accepte,acceptons,acceptez,acceptent
agir,to act,agis,agis,agit,agissons,agissez,agissent
